id,isResult,side,h,a,goals,xG,datetime,forecast,result,date,team,is_home,opponent,home_title,away_title,h_goals,a_goals,xG_num,xGA_num,rolling_xg,rolling_xga,rest_days,is_derby,euro_travel
18554,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '2', 'a': '0'}","{'h': '4.42571', 'a': '0.203312'}",2023-05-14 13:00:00+00:00,"{'w': 0.9758925623996999, 'd': 0.020735734498257778, 'l': 0.003310268830103067}",w,2023-05-14 13:00:00+00:00,Brentford,True,West_Ham,Brentford,West Ham,2,0,4.42571,0.203312,1.7314312,1.2024529999999998,7,False,False
18569,True,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '1', 'a': '3'}","{'h': '1.61667', 'a': '1.15344'}",2023-05-20 11:30:00+00:00,"{'w': 0.48129423161614265, 'd': 0.24666022147628924, 'l': 0.2720455466780257}",w,2023-05-20 11:30:00+00:00,Brentford,False,Tottenham,Tottenham,Brentford,1,3,1.15344,1.61667,1.5557952,1.1925829999999997,5,False,False
18574,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': '1', 'a': '0'}","{'h': '1.43893', 'a': '1.18649'}",2023-05-28 15:30:00+00:00,"{'w': 0.42875763263184524, 'd': 0.25995045132313305, 'l': 0.31129191599498607}",w,2023-05-28 15:30:00+00:00,Brentford,True,Manchester_City,Brentford,Manchester City,1,0,1.43893,1.18649,1.7045124,1.187633,8,False,False
22282,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': '2', 'a': '2'}","{'h': '1.90756', 'a': '1.45316'}",2023-08-13 13:00:00+00:00,"{'w': 0.48317029047913296, 'd': 0.222125853046722, 'l': 0.2947038543461759}",d,2023-08-13 13:00:00+00:00,Brentford,True,Tottenham,Brentford,Tottenham,2,2,1.90756,1.45316,1.8219064,1.2903263999999999,76,False,False
22287,True,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '0', 'a': '3'}","{'h': '0.399899', 'a': '3.46888'}",2023-08-19 14:00:00+00:00,"{'w': 0.018581271420566422, 'd': 0.06159137733521857, 'l': 0.9198235130831671}",w,2023-08-19 14:00:00+00:00,Brentford,False,Fulham,Fulham,Brentford,0,3,3.46888,0.399899,2.478904,0.9719061999999997,6,False,False
22298,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': '1', 'a': '1'}","{'h': '0.948011', 'a': '1.06061'}",2023-08-26 14:00:00+00:00,"{'w': 0.3170675232589612, 'd': 0.3070288913746852, 'l': 0.3759035853655269}",d,2023-08-26 14:00:00+00:00,Brentford,True,Crystal_Palace,Brentford,Crystal Palace,1,1,0.948011,1.06061,1.7833642,1.1433657999999998,7,False,False
21928,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': '2', 'a': '2'}","{'h': '3.07185', 'a': '2.11013'}",2023-09-02 14:00:00+00:00,"{'w': 0.5773220486545756, 'd': 0.1661191533061523, 'l': 0.25655789562025244}",d,2023-09-02 14:00:00+00:00,Brentford,True,Bournemouth,Brentford,Bournemouth,2,2,3.07185,2.11013,2.1670462,1.2420578,7,False,False
21943,True,a,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '1', 'a': '0'}","{'h': '1.50126', 'a': '0.633678'}",2023-09-16 16:30:00+00:00,"{'w': 0.5831568045614424, 'd': 0.2605040438723905, 'l': 0.15633915148282368}",l,2023-09-16 16:30:00+00:00,Brentford,False,Newcastle_United,Newcastle United,Brentford,1,0,0.633678,1.50126,2.0059958,1.3050117999999997,14,False,False
21949,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': '1', 'a': '3'}","{'h': '1.57402', 'a': '2.51497'}",2023-09-23 16:30:00+00:00,"{'w': 0.23226081133786525, 'd': 0.18601562000932884, 'l': 0.5817234939057714}",l,2023-09-23 16:30:00+00:00,Brentford,True,Everton,Brentford,Everton,1,3,1.57402,2.51497,1.9392878000000002,1.5173737999999999,7,False,False
21963,True,a,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '1', 'a': '1'}","{'h': '0.800317', 'a': '1.75862'}",2023-10-01 13:00:00+00:00,"{'w': 0.16702979502430612, 'd': 0.23118135268685508, 'l': 0.6017888515849265}",d,2023-10-01 13:00:00+00:00,Brentford,False,Nottingham_Forest,Nottingham Forest,Brentford,1,1,1.75862,0.800317,1.5972358000000002,1.5974573999999997,7,False,False
